backend,n_vars,n_clauses,n_nodes,nnz_offdiag,iterations,elapsed_ms,g_edge_visits_s,ns_per_edge_iter,estimated_mib,clause_fraction,sat_found
cuda,1024,4301,5325,25780,200,331.4964599609375,0.015553710590476793,64.29333979071713,0.29825592041015625,0.8844454777958615,0
cuda,4096,17203,21299,103198,200,9.494527816772461,2.1738416484008107,0.4600151076945513,1.1935882568359375,0.8750799279195489,0
cuda,16384,68813,85197,412840,200,9.375743865966797,8.806554571068784,0.11355178599417204,4.774726867675781,0.8754886431342915,0
cuda,65536,275251,340787,1651498,200,11.166720390319824,29.578926350330146,0.03380785320454467,19.099929809570312,0.8757570363050452,0
cuda,262144,1101005,1363149,6605998,200,35.25017547607422,37.480653135946916,0.026680431538182586,76.39977264404297,0.8745636940795001,0
cuda,1048576,4404019,5452595,26424080,200,140.58802795410156,37.59079686163148,0.02660225596389762,305.5997314453125,0.8749085778240284,0
