n,m,fitness,solutions,uniform_initial_expected_steps,worst_state_binary,max_residual,search_seconds
8,34,640.8680690975038,1,517.7351185781917,10000010,1.4812888691204675e-10,2.091477155685425
10,42,565.1338376159334,1,456.3981463513709,0000010111,1.5752732451801427e-10,8.90947413444519
12,50,496.16914895508074,2,323.5020339552611,000100011000,1.5960566204226154e-10,45.27099943161011
