n,m,trials,successes,success_rate,median_steps,mean_steps,median_ms,mean_ms,max_final_energy
10,42,20,20,1.0,6.5,14.35,0.3653574999589182,0.6171002499513634,0
20,84,20,20,1.0,52.5,105.2,2.2839645000658493,4.404671700081053,0
50,210,20,20,1.0,195.0,347.75,13.379780499917615,20.489611650032202,0
100,420,20,20,1.0,630.5,1082.3,53.03730500008896,92.62685300002431,0
